,sentence1,sentence2,genre,English_label,translation1,translation2,annotator 1 labels,annotator 2 labels
590,"In winter, the gaur, the world's largest wild ox, almost 2 m (6 ft) high at the shoulder, comes out of its hideaway in the Siwalik Hills on the park's southern edge in search of young grass.",In the winter months the guar feeds on grass in the park.,travel,entailment,"בחורף הגאור, השור הפראי הגדול בעולם, שגובה כתפיו כמעט 2 מטר (6 רגל), יוצא ממחבואו בהרי סיליק שבקצה הדרומי של הפארק בחיפוש אחר עשב צעיר.",בחודשי החורף הגואר ניזון מדשא בפארק.,Entailment,Entailment
591,For information about Italy's music festivals (as well as theater and film) refer to the web site &lt;www.italiafestival.it&gt;.,"For information about Italy's attractions, buy our exclusive tour guide for only $5,000.",travel,contradiction,למידע על פסטיבלי המוזיקה של איטליה (כמו גם תיאטרון וקולנוע) עיינו באתר &lt;www.italiafestival.it&gt;.,"למידע על אטרקציות באיטליה, קנו את מדריך הטיולים הבלעדי שלנו תמורת 5,000 דולר בלבד.",Contradiction,Neutral
592,"He tightened the king's control over legislation and taxes, enraging the Vatican by daring to impose a new levy on the Church.",The Vatican approved of the king's decisions.,travel,contradiction,"הוא חיזק את שליטת המלך על החקיקה והמיסים, והכעיס את הוותיקן בכך שהעז להטיל מס חדש על הכנסייה.",הוותיקן אישר את החלטות המלך.,Contradiction,Contradiction
593,"Its main attraction, however, is the magnificent collection of sarcophagi, especially the Alexander Sarcophagus, decorated with scenes of hunting and battle.",There are no sarcophagi featured in this place.,travel,contradiction,"עם זאת, האטרקציה העיקרית שלה היא האוסף המפואר של סרקופגים, במיוחד סרקופג אלכסנדר, המעוטר בסצנות של ציד וקרב.",אין סרקופגים המוצגים במקום הזה.,Contradiction,Contradiction
594,"A year later, in June 1840, came the British retaliation, beginning the first of the so-called Opium Wars.",The Opium Wars began in 1850 with a Chinese surprise attack.,travel,contradiction,"שנה לאחר מכן, ביוני 1840, הגיעה התגובה הבריטית, ובכך התחילה את מה שמכונה מלחמות האופיום.",מלחמות האופיום החלו ב-1850 בהתקפת פתע סינית.,Contradiction,Contradiction
595,"The wild-West town comes complete with gunfights, a wax museum, an opera house, a mini-train, horseback riding, and an extensive petting zoo.","A wax museum, gunfights, an opera house, a mini-train and a petting zoo can be found in the wild-West town.",travel,entailment,"עיירת המערב הפרוע כוללת קרבות יריות, מוזיאון שעווה, בית אופרה, רכבת מיניאטורית, רכיבה על סוסים ופינת חי רחבת ידיים.","ניתן למצוא בעיירת המערב הפרוע מוזיאון שעווה, קרבות יריות, בית אופרה, רכבת מיניאטורית ופינת חי.",Entailment,Entailment
596,"Deep depressions and high outcrops are blanketed by layers of green vegetation and topped by a lush canopy of trees, making travel difficult and sometimes dangerous.",There is a lot of vegetation.,travel,entailment,"יש שקעים עמוקים וצוקים גבוהים המכוסים בשכבות של צמחייה ירוקה ועליהם חופת עצים שופעת, מה שמקשה על הנסיעה ולעיתים מסוכן.",יש הרבה צמחייה.,Entailment,Entailment
597,"In Tivoli itself, overlooking the Roman plain, the Villa d'Este is a 16th-century counterpart, celebrating all the extravagance of the late Renaissance.",The Renaissance's extravagance is celebrated in the Villa d'Este.,travel,entailment,"בטיבולי עצמה, המשקיפה על המישור הרומי, וילה ד'אסטה היא העתק מהמאה ה-16, החוגגת את כל השפע של הרנסנס המאוחר.",וילה ד׳אסטה מתפארת ברהבתנות של הרנסנס המאוחר.,Entailment,Entailment
598,"From 1309 to 1377, Avignon was the papal seat.","During this time, everyone approved of the job their leader was doing.",travel,contradiction,"מ-1309 עד 1377, אביניון הייתה מושב האפיפיור.","במהלך תקופה זו, כולם אישרו את העבודה שמנהיגם עשה.",Neutral,Neutral
599,On the main shopping street you will find an attractive and interesting art gallery housed in the ancient Greek basilica of Ayios Haralambos.,An art gallery can be found in the ancient Greek basilica.,travel,entailment,ברחוב הקניות הראשי תמצאו גלריית אמנות אטרקטיבית ומעניינת הנמצאת בבזיליקה היוונית העתיקה של איוס הרלמבוס.,ניתן למצוא גלריית אמנות בבזיליקה היוונית העתיקה.,Entailment,Entailment
600,"During the events of May 1968, students used it as a factory for militant posters.",The students used the location to make posters in June 1956.,travel,contradiction,"במהלך אירועי מאי 1968, סטודנטים השתמשו בו כמפעל לפוסטרים מיליטנטיים.",התלמידים השתמשו במיקום כדי להכין כרזות ביוני 1956.,Neutral,Neutral
601,"Watch for onyx from Argentina and shark-cartilage pendants from Uruguay, among other exotic items.",The exotic items include goods from many countries but not Uruguay or Argentina.,travel,contradiction,"שימו לב לשוהם מארגנטינה ולתליונים מסחוס כריש מאורוגוואי, בין שאר הפריטים האקזוטיים.",הפריטים האקזוטיים כוללים סחורות ממדינות רבות אך לא אורוגוואי או ארגנטינה.,Contradiction,Contradiction
602,It's known for showcasing important new Irish playwrights.,It has a reputation for putting on new Irish playwrights.,travel,entailment,הוא ידוע בכך שהוא מציג מחזאים איריים חדשים וחשובים.,יש לו מוניטין של העלאת מחזאים איריים חדשים.,Entailment,Entailment
603,This information can also be found at the Malaysian Tourist Information Centre in KL.,The Malaysian Tourist Information Centre in KL has different information to this.,travel,contradiction,מידע זה ניתן למצוא גם במרכז המלזי למידע תיירותי בקואלה לומפור.,המרכז המלזי למידע תיירותי בקואלה לומפור מספק מידע שונה מזה.,Contradiction,Contradiction
604,"While the best shows (at the Tropicana clubs in both Havana and Santiago de Cuba) are rather expensive by Cuban standards, seeing at least one big song-and-dance production in the flesh (so to speak) is de riguer.",The best shows are rather expensive by Cuban standards.,travel,entailment,"למרות שהמופעים הטובים ביותר (במועדוני טרופיקנה בהוואנה ובסנטיאגו דה קובה) הם יקרים למדי לפי הסטנדרטים הקובניים, חובה לראות לפחות הפקת שירים-וריקודים גדולה אחת (כך אומרים).",המופעים הטובים ביותר יקרים למדי בסטנדרטים קובניים.,Entailment,Entailment
605,"You'll be able to explore the Military Museum and Carriage Museum during your tour, but do take time to visit the vantage points along the western wall for wonderful views down onto vast areas of the Cityel, left unused and now decaying, and panoramic views acroseCairo.",The Military Museum and the Carriage Museum are definitely closed due to buildings fragility.,travel,contradiction,"תוכלו לחקור את מוזיאון הצבא ומוזיאון הכרכרות במהלך הסיור שלכם, אך הקדישו זמן לביקור בנקודות התצפית לאורך החומה המערבית כדי ליהנות מנופים נפלאים של אזורים נרחבים בעיר שנותרו עתה אזורי רפאים מתפוררים, ומנופים פנורמיים של קהיר.",מוזיאון הצבא ומוזיאון הכרכרות סגורים בוודאות עקב מצבם הרעוע של הבניינים.,Contradiction,Contradiction
606,"For those who still have some energy left after a night of revels, there is also a New Year's Day triathlon.",You can join the Christmas day Triathlon.,travel,contradiction,"לאלה שעדיין נותרה להם מעט אנרגיה לאחר ליל הוללות, יש גם תחרות טריאתלון בראש השנה.",אתם יכולים להצטרף לתחרות הטריאתלון בחג המולד.,Contradiction,Contradiction
607,"Strings of prayer flags stretch from the tower's pinnacle, and around the base are hundreds of small prayer wheels.",Religion is important here.,travel,entailment,"מחרוזות של דגלי תפילה נמתחות מצריח הפעמון, וסביב הבסיס יש מאות גלגלי תפילה קטנים.",דת היא דבר חשוב כאן.,Neutral,Neutral
608,"The Shore formed around the mouth of the Waters of Leith, the narrow river running through Edinburgh.",The shore formed around a landmass without any water present.,travel,contradiction,"החוף נוצר סביב שפך מי הליית', הנהר הצר העובר באדינבורו.",החוף נוצר סביב גוש יבשה ללא נוכחות של מים.,Contradiction,Contradiction
609,"A gilded Garuda, in his usual namaste pose, kneels on a pillar before the temple.",Garuda is the guardian of this temple.,travel,neutral,"גארודה מוזהבת, בתנוחת נמסטה הרגילה שלה, כורעת על עמוד לפני המקדש.",גארודה היא השומרת של מקדש זה.,Neutral,Neutral
610,"In the daytime the temple (open 8am 6pm) attracts worshipers, and its park attracts strollers and mah-jong players.",The park is within walking distance of the temple.,travel,neutral,"בשעות היום המקדש (פתוח מ-8 בבוקר עד 6 בערב) מושך אליו מתפללים, והפארק שלו מושך אליו מטיילים ושחקני מה-ג'ונג.",הפארק נמצא במרחק הליכה מהמקדש.,Neutral,Neutral
611,Cola di Rienzo rules Rome,The Romans don't like Cola.,travel,neutral,קולה די ריינצו שולט ברומא.,הרומאים לא אוהבים קולה.,Contradiction,Neutral
612,"Henceforth he became known as  Fatih  (Conqueror), and his newly won capital city was renamed Istanbul.","He became henceforth known as Fatih (Conqueror), and his newly won capital city was renamed Istanbul.",travel,entailment,"מאז ואילך הוא נודע בשם פאתיח (הכובש), ובירת עירו החדשה נקראה איסטנבול.","הוא נודע מעתה כפאתיח (הכובש), ובירת ממלכתו החדשה נקראה איסטנבול.",Entailment,Entailment
613,"In the past there have been several attempts to drain the wetlands, but this damaged not only the Great Morass but also areas of the coral reef offshore.",Draining the wetlands is bad because it damages the ecosystems.,travel,entailment,"בעבר היו ניסיונות רבים לנקז את הביצות, אבל זה פגע לא רק בביצות הגדולות אלא גם באזורים של שונית האלמוגים הרחק מהחוף.",ניקוז הביצות הוא דבר רע כי הוא פוגע במערכות האקולוגיות.,Entailment,Entailment
614,"Beginning west of Reid's Hotel is the newest hotel zone, known as the Zona Turista (Tourist Zone).",The newest hotel zone is called the Zona Turista.,travel,entailment,"ממערב למלון ריד מתחיל אזור המלונות החדש ביותר, המכונה Zona Turista (אזור התיירים).",אזור המלונות החדש ביותר נקרא Zona Turista.,Entailment,Entailment
615,"From Mykonos, you can travel to Delos, ParoseNaxos, Tinos, Androseand Syros.",You have to take a ferry to reach Delos.,travel,neutral,"ממיקונוס אתה יכול לשוט לדלוס, פארוס, נקסוס, טינוס, אנדרוס וסירוס.",אתה צריך לקחת מעבורת כדי להגיע לדלוס.,Neutral,Neutral
616,"If you want to learn something about tea, go to the Tea Shop at 149 Hollywood Road, or the Moon Garden Tea House at 5 Hoi Ping Road, Causeway Bay.",The Tea Shop at 149 Hollywood Road or Moon Garden Tea House are good places to get knowledge about tea.,travel,entailment,"אם אתם רוצים ללמוד משהו על תה, לכו לחנות התה בהוליווד רואד 149, או לבית התה מון גארדן בהוי פינג רואד 5, קוזוויי ביי.",חנות התה בהוליווד רואד 149 או בית התה מון גארדן הם מקומות טובים לקבל ידע על תה.,Entailment,Entailment
617,"The remains of the ancient city, Tel Jericho, are on the northern edge of town.",The remains of Tel Jericho are on the northern edge of town.,travel,entailment,"שרידי העיר העתיקה, תל יריחו, נמצאים בקצה הצפוני של העיר.",שרידי תל יריחו נמצאים בקצה הצפוני של העיר.,Entailment,Entailment
618,Train sets and racing car tracks will bring back childhood memories for many.,Objects have no meaning for people and don't evoke any emotion or nostalgia,travel,contradiction,ערכות רכבת ומסלולי מכוניות מרוץ ישיבו לרבים זכרונות ילדות.,לחפצים אין משמעות בעיני אנשים והם לא מעוררים שום רגש או נוסטלגיה,Contradiction,Contradiction
619,"The temple served a specific purpose, to host the New Year celebration to the God Amun who would be represented in both his positive form, Amun Ra the sun god and his negative form, Amun-Min a lustful, wanton and outrageous demon.",The positive form of the God Amun was Amun Ra.,travel,entailment,"המקדש שירת מטרה ספציפית, לארח את חגיגת השנה החדשה לאל אמון שקיבל ייצוג גם בצורתו החיובית, אמון-רה, אל השמש, וגם בצורתו השלילית - אמון-מין, שד תאוותני, מופקר וזוועתי.",צורתו החיובית של האל אמון הייתה אמון רה.,Entailment,Entailment
620,"Eventually, however, the warring gave way to Viking settlement and intermarriage with the Celts.",The Vikings and Celts eventually began to intermingle.,travel,entailment,"עם זאת, בסופו של דבר המאבקים פינו את מקומם להתיישבות ויקינגית ולנישואי תערובת עם הקלטים.",הויקינגים והקלטים החלו להתערבב זה בזה בסופו של דבר.,Entailment,Entailment
621,Austria seized the occasion to add the Veneto to its Lombardy territories.,Overtaking Veneto was a great strategic decision for Austria.,travel,neutral,אוסטריה ניצלה את ההזדמנות כדי להוסיף את ונטו לטריטוריות לומברדיה.,ההשתלטות על ונטו היתה החלטה אסטרטגית גדולה עבור אוסטריה.,Neutral,Neutral
622,"The Prince of Wales Museum, at the southern end of Mahatma Gandhi Road, has a collection of miniatures and seventh-century sculptures from the caves of Elephanta, as well as a pottery and stone tools.",Miniatures and sculptures from the caves of Elephanta are on display at the Prince of Wales Museum.,travel,entailment,"מוזיאון הנסיך מוויילס, בקצה הדרומי של רחוב מהאטמה גנדי, כולל אוסף של מיניאטורות ופסלים מהמאה השביעית ממערות אלפנטה, כמו גם כלי חרס וכלי אבן.",מיניאטורות ופסלים ממערות אלפנטה מוצגים במוזיאון הנסיך מוויילס.,Entailment,Entailment
623,Almost nine percent of Egyptians are Christian.,The Christian population of Egypt is shrinking.,travel,neutral,כמעט תשעה אחוזים מהמצרים הם נוצרים.,האוכלוסייה הנוצרית של מצרים הולכת ומצטמצמת.,Neutral,Neutral
624,Egypt was already dominated by foreign power the Assyrians and also began increasing trade and diplomacy with the expanding Roman Empire.,"Although Egypt was dominated by the Assyrians, they began increasing trade with the Roman Empire.",travel,entailment,"מצרים כבר נשלטה על ידי כוח זר, האשורים, וגם החלה להגדיל את היקף הסחר והדיפלומטיה עם האימפריה הרומית המתרחבת.","למרות שמצרים נשלטה על ידי ממלכת אשור, היא החלה להגדיל את היקף הסחר עם האימפריה הרומית.",Entailment,Entailment
625,Nearby is a monument to mark the spot where Joan was burned at the stake in 1431.,A monument to Joan is the only interesting site to visit nearby.,travel,neutral,בקרבת מקום נמצאת אנדרטה לציון המקום שבו ז׳אן נשרפה על המוקד בשנת 1431.,האנדרטה לזכר ז'אן היא האתר היחיד שמעניין לבקר בו באזור.,Neutral,Neutral
626,It also found itself famous as a worldwide bargain shopping center.,It was a national trade shopping center.,travel,contradiction,הוא גם התפרסם כמרכז קניות משתלם ברחבי העולם.,זה היה מרכז קניות סחר לאומי.,Neutral,Neutral
627,The Porcelain Room contains decorations created by the Buen Retiro porcelain factory of Madrid for king Carlos III in 1760.,This porcelain factory duplicated Chinese monkey designs.,travel,neutral,"חדר החרסינה מכיל קישוטים שיוצרו ב-1760 ב-Buen Retiro, מפעל החרסינה של מדריד, עבור המלך קרלוס השלישי.",מפעל החרסינה הזה שכפל עיצובים סיניים של קופים.,Neutral,Neutral
628,"This Temple of Green Pines is a spacious complex containing temples and pavilions, statues, and gardens.",The Temple of Green Pines is named after the abundance of pine trees it has.,travel,neutral,"מקדש עצי האורן הירוקים הוא מתחם מרווח המכיל מקדשים וביתנים, פסלים וגנים.",מקדש עצי האורן הירוקים נקרא על שם שפע עצי האורן שיש בו.,Neutral,Neutral
629,"The famous FWI women, inevitably wearing bright earrings and flashing colors, manage to be both graceful and sensuous as they walk.",The women are dressed in drab colors as they walk.,travel,contradiction,"הנשים המפורסמות של FWI, שעונדות תמיד עגילים בוהקים וצבעים נוצצים, מצליחות להיות גם חינניות וגם חושניות בעת הליכתן.",בעת הליכתן הנשים לבושות בצבעים חד גוניים.,Contradiction,Contradiction
630,Here you'll find the last few Jamaican iguanas and yellow snakes.,Here you'll find a plethora of Jamaican Iguanas.,travel,contradiction,כאן תמצאו את מעט האיגואנות הג'מייקניות והנחשים הצהובים האחרונים שנותרו.,כאן תמצאו שפע של לטאות איגואנה ג'מייקניות.,Contradiction,Contradiction
631,"The graveyard has some extremely ornate and fascinating tombs, replete with skulls and croseones and other symbols of death.",Some of the tombs are decorated with silver and gold embellishments.,travel,neutral,"בית הקברות כולל כמה קברים מקושטים ומעניינים במיוחד, מלאים בגולגולות וצלבים וסמלים אחרים של מוות.",חלק מהקברים מעוטרים בקישוטי כסף וזהב.,Neutral,Neutral
632,Just west of the monastery lies one of the geological wonders of the world.,None of the geological wonders of the world are near the monastery.,travel,contradiction,מערבית למנזר נמצא אחד מפלאי הטבע של העולם.,אף אחת מהפלאים הגיאולוגיים של העולם אינן נמצאות בקרבת המנזר.,Contradiction,Contradiction
633,"If you take an evening tour, be prepared!",The evening tour is when it is most dangerous to pickpockets.,travel,neutral,"אם אתם יוצאים לסיור ערב, היו מוכנים!",הסיור בערב הוא הזמן המסוכן ביותר לכייסים.,Neutral,Neutral
634,"Favorite sons of Besancon include Victor Hugo, 19th-century thinker Pierre-Joseph Proudhon, and Auguste and Louis Lumiyre, inventors of cinematography.",Victor Hugo was the sole inventor of cinematography.,travel,contradiction,"בניה האהובים של בזאנסון כוללים את ויקטור הוגו; פייר-ז'וזף פרודון, הפילוסוף מהמאה ה-19; ואוגוסט ולואי לומייר, ממציאי הקולנוע.",ויקטור הוגו היה הממציא היחיד של הקולנוע.,Contradiction,Contradiction
635,"Here you can rent a car, scooter, moped, or bicycle, or catch the bus.","You can rent bicycles here, but it's really expensive - often more than renting a car.",travel,neutral,"כאן תוכלו לשכור רכב, קטנוע, אופנוע או אופניים, או לעלות על אוטובוס.","אתם יכולים לשכור כאן אופניים, אבל זה באמת יקר - לעיתים קרובות יותר מאשר לשכור מכונית.",Neutral,Neutral
636,"Attracted by its balmy weather and luscious orange groves, Midwesterners flocked here in the 1880s.",The Mid westerners brought a love of oatmeal and whiskey to their new home.,travel,neutral,"תושבי המערב התיכון נמשכו למזג האוויר הנוח ומטעי התפוזים העסיסיים, ונהרו לכאן בשנות ה-80 של המאה ה-19.",תושבי המערב התיכון הביאו לביתם החדש אהבה לדייסה ולוויסקי.,Neutral,Neutral
637,The all-hours hubbub here is infectious.,The hubbub that goes on for hours is infectious.,travel,entailment,ההמולה שנמשכת כאן כל שעות היממה היא מדבקת.,ההמולה שנמשכת שעות היא מדבקת.,Entailment,Entailment
638,Note that family tickets are available for rail and bus services and that children under 16 travel at half-fare on buses and DART.,The bus is $10 for adults and $5 for kids.,travel,neutral,"שימו לב שניתן לרכוש כרטיסים משפחתיים לשירותי רכבת ואוטובוס, ושילדים מתחת לגיל 16 נוסעים בחצי מחיר באוטובוסים וברכבת הקלה.",האוטובוס עולה 10 דולר למבוגרים ו-5 דולר לילדים.,Neutral,Neutral
639,"The roof has gone, but with its entablature and 14 fluted columns still standing, it is, with Athens' Theseion, the best preserved of all Greek temples.",The roof was destroyed hundreds of years ago in a violent hurricane.,travel,neutral,"הגג כבר איננו, אבל עם האנטבלטורה שלו ו-14 העמודים המחורצים שעדיין עומדים, הוא ותזיאון באתונה הם השמורים ביותר מכל המקדשים היווניים.",הגג נהרס לפני מאות שנים בהוריקן אלים.,Neutral,Neutral
640,And everybody seems to be smiling.,They all just heard good news.,travel,neutral,ונראה שכולם מחייכים.,הם כולם בדיוק קיבלו חדשות טובות.,Neutral,Neutral
641,Rinnoji belongs to the Tendai sect of Buddhism.,The Buddhism religion is formed using different sects.,travel,neutral,רינוג'י שייך לכת הבודהיסטית טנדאי.,דת הבודהיזם מורכבת מכתות שונות.,Entailment,Entailment
642,"Delos was a sacred island and its soil had to be kept pure; therefore, birth and death were prohibited human activities.",People die on the island of Delos.,travel,contradiction,"דלוס היה אי קדוש ואדמתו הייתה צריכה להישמר טהורה; לכן, לידה ומיתה של בני אדם היו אסורות.",אנשים מתים באי דלוס.,Contradiction,Contradiction
643,"Three km (2 miles) to the south, Nishat Bagh was laid out in 1633 by Asaf Khan, the brother of Jahangir's wife.",It took Asaf Khan two years to finish the layout of Nishat Bagh.,travel,neutral,"שלושה ק""מ (2 מייל) דרומה משם, הוקם נישאט באג ב-1633 על ידי אסאף חאן, אחיה של אשתו של ג'האנגיר.",לקח לאסאף חאן שנתיים לסיים את הקמת נישאט באג.,Neutral,Neutral
644,A new yacht basin to the east allows safe harbor for independent travelers.,The yacht basin was only made available within the last decade.,travel,neutral,אגן יאכטות חדש במזרח מספק לנוסעים עצמאיים נמל בטוח לעגון בו.,אגן היאכטות הועמד לרשות הציבור רק בעשור האחרון.,Neutral,Neutral
645,"The building's fine Art-Deco features, from murals to gold-leaf ceiling frescoes, can be seen on an organized tour.",There organized tour costs seven dollars and lasts one hour.,travel,neutral,"את מאפייני האר-דקו היפים של הבניין, מיצירות קיר ועד פרסקאות תקרה מוזהבות, אפשר לראות בסיור מאורגן.",הסיור המאורגן עולה שבעה דולר ונמשך שעה.,Neutral,Neutral
646,Interior courtyards were beautified by some of the most ornate mosaic floors and wall frescoes in the ancient world.,The interior courtyard is hideous.,travel,contradiction,את החצרות הפנימיות ייפו כמה מרצפות הפסיפס ופרסקאות הקיר המפוארים ביותר בעולם העתיק.,החצר הפנימית נראית נורא.,Contradiction,Contradiction
647,"For golf enthusiasts, two courses reassure the visitor you are close to civilization.",Golf lovers adore the two courses that are available.,travel,neutral,את חובבי הגולף שבינינו ירגיעו שני מגרשים שמספקים הרגשה של קרבה לציוויליזציה.,חובבי גולף אוהבים את שני המגרשים שאפשר לשחק בהם.,Neutral,Entailment
648,"From Morant Point, the road turns west back toward Kingston.","Kingston is an island, so it can only be reached by boat.",travel,contradiction,"ממורנט פוינט, הכביש פונה מערבה חזרה לכיוון קינגסטון.","קינגסטון הוא אי, כך שאפשר להגיע אליו רק בסירה.",Contradiction,Contradiction
649,The gold-plated sedan chairs on the left-hand side of the temple were once used for transporting the statues of the temple's gods in religious processions.,The sedan chairs at the temple are used for photos today.,travel,neutral,כיסאות האפיריון המצופים זהב בצד השמאלי של המקדש שימשו פעם לנשיאת פסלי האלים של המקדש בתהלוכות דתיות.,כיסאות האפיריון במקדש משמשים כיום לצילומים.,Neutral,Neutral
650,"Facing a dramatic influx of Cubans, President Clinton abolished the US policy of automatic asylum to Cuban refugees, placing them in a makeshift tent settlement in Guantanamo Bay Naval Base.",Many Cuban refugees flocked to  the United States because they believe that they could have a better life there.,travel,neutral,"בעקבות זרם עצום של קובנים, ביטל הנשיא קלינטון את המדיניות האמריקאית של מקלט אוטומטי לפליטים קובנים, והציב אותם במאהל אוהלים זמני בבסיס הצי במפרץ גואנטנמו.",פליטים קובניים רבים נהרו לארצות הברית כי הם מאמינים שיוכלו לחיות שם חיים טובים יותר.,Neutral,Entailment
651,Station Jesus is stripped; Station Jesus is nailed on to the crose and Station Jesus dies on the crose,Jesus is stripped as he is nailed to the cross but he may have died from other causes.,travel,neutral,תחנת ישו הופשטה; תחנת ישו מוסמרה לצלב ותחנת ישו מתה על הצלב,"ישו הופשט מבגדיו לפני שמוסמר לצלב, אך ייתכן שהוא מת מסיבות אחרות.",Neutral,Neutral
652,"The largest shrine, the three-storied pyramidal Dharmaraja, at the southern end, has 50 figures, including gods, heroes, and, fascinatingly, modest subjects such as temple servants.",Dharmaraja is the smallest of all the shrines and is only one story.,travel,contradiction,"המקדש הגדול ביותר, דהרמארג'ה הפירמידלי בן שלוש הקומות, בקצה הדרומי, מכיל 50 דמויות, כולל אלים, גיבורים ומעניין לציין שאף נתינים צנועים, כמו משרתי המקדש.",דהרמארג'ה הוא הקטן ביותר מכל המקדשים ויש בו רק קומה אחת.,Contradiction,Contradiction
653,"The complex within, still home to a community of Greek Orthodox priests, is centered around the Church of St. Catherine built in 552 and dedicated to the saint when her remains were discovered nearby (on Mount St. Catherine) over 300 years later.",The same person who discovered St. Catherine's remains also built the church.,travel,neutral,"המתחם שבתוכו, שעדיין משמש בית לקהילה של כמרים אורתודוקסים יווניים, ממוקם סביב כנסיית סנטה קטרינה שנבנתה ב-552 והוקדשה לקדושה זו; שרידיה התגלו בקרבת מקום (בהר סנטה קטרינה) למעלה מ-300 שנה מאוחר יותר.",אותו אדם שגילה את שרידי סנט קתרינה גם בנה את הכנסייה.,Contradiction,Contradiction
654,"Since then, a mass of apartment blocks and hotels has sprung up and the town has become known as an international fun city.",The town has a lot of apartment blocks and hotels.,travel,entailment,"מאז צמחו המון בתי דירות ומלונות, והעיר התפרסמה כעיר בילוי בינלאומית.",בעיר יש הרבה בתי דירות ומלונות.,Entailment,Entailment
655,"Still, Miyajima manages to be both solemn and lively.",Miyajima has a very serious feel to it due to the shrines and temples.,travel,neutral,"עדיין, מיאג'ימה מצליחה להיות גם רצינית וגם עליזה.",מיאג'ימה מעוררת תחושת רצינות כבדה בשל המקדשים והאולמות.,Contradiction,Neutral
656,"This towering vessel, comprising 5,600 individual parts and subsequently gilded, was the work of the German silversmith Heinrich von Harff.",A German silversmith created the vessel out of thousands of individual parts.,travel,entailment,"כלי השיט הגבוה הזה, המורכב מ-5,600 חלקים שונים ומצופה בזהב, היה יצירתו של צורף הכסף הגרמני היינריך פון הארף.",צורף גרמני יצר את הכלי מאלפי חלקים שונים.,Entailment,Entailment
657,"Although popular with visitors, it has not lost its traditional industry.",The traditional industry is not popular with visitors.,travel,contradiction,"למרות הפופולריות שלה בקרב המבקרים, היא לא איבדה את התעשייה המסורתית שלה.",התעשייה המסורתית אינה פופולרית בקרב המבקרים.,Contradiction,Neutral
658,"An annual gathering is held in June at Kerk-penar, near Edirne, 230 km (143 miles) northwest of Istanbul.",The annual gathering is held in September near the mountainous region of Edirne.,travel,contradiction,"מפגש שנתי מתקיים ביוני ב-Kerk-penar, ליד אדירנה, 230 ק""מ (143 מייל) צפון-מערבית לאיסטנבול.",המפגש השנתי מתקיים בספטמבר ליד האזור ההררי של אדירנה.,Contradiction,Contradiction
659,Lively sports bar and grill located centrally on Negril's beach.,The sports bar is very upbeat.,travel,entailment,בר ספורט וגריל תוסס הממוקם במרכז חוף נגריל.,בר הספורט מאוד עליז.,Entailment,Entailment
660,"The stately pedalo for two won't go fast, and it's stable enough for adults to take small children with them.",The pedalo for two is stable enough for adults and kids.,travel,entailment,"סירת הפדלים הזוגית המרשימה לא יכולה לשוט מהר, והיא יציבה מספיק למבוגרים כדי לקחת איתם ילדים קטנים.",סירת הפדלים הזוגית יציבה מספיק למבוגרים ולילדים.,Entailment,Entailment
661,"Kyoto, however, boasts the most famous of them all the Fushimi-Inari Shrine in southern Kyoto.",There are many of them all through Japan.,travel,neutral,"קיוטו, עם זאת, מתגאה במפורסם ביותר מכל אלה - מקדש פושימי-אינרי בדרום קיוטו.",יש הרבה מהם בכל רחבי יפן.,Neutral,Neutral
662,The first man to hit the ground with a part of the body other than the feet loses the contest.,The first man who touches the ground with his hands loses.,travel,neutral,האדם הראשון שנוגע בקרקע עם חלק בגוף מלבד הרגליים מפסיד בתחרות.,האדם הראשון שנוגע עם הידיים בקרקע מפסיד.,Entailment,Entailment
663,"The non-stop lift takes 55 seconds from ground to the observatory, but offers spectacular views of the city and beyond!",There are great views from the lift.,travel,entailment,"למעלית האקספרס לוקח 55 שניות להגיע מהקרקע לתצפית, אך מציעה נופים מרהיבים של העיר ומעבר לה!",מהמעלית אפשר לראות נופים נהדרים.,Entailment,Entailment
664,"Internationally acclaimed Jamaican and continental cuisine in a casual atmosphere overlooking Port Royal Marina, with views of the Kingston skyline across the bay.",Their food is terrible.,travel,contradiction,"מטבח ג'מייקני וקונטיננטלי עטור פרסים בינלאומיים באווירה נינוחה המשקיפה על מרינת פורט רויאל, עם נופים של קו הרקיע של קינגסטון מעבר למפרץ.",האוכל שלהם נורא.,Contradiction,Contradiction
665,"Lesvos, Chios, and Samos lay in the important shipping lanes, and patriots began disrupting Ottoman cargo traffic.","The important shipping lanes comprehend Lesvos, Chios and Samos, said the teacher.",travel,neutral,"לסבוס, כיוס וסאמוס שוכנות בנתיבי השיט החשובים, והפטריוטים החלו לשבש את תנועת המטען העות'מאנית.","נתיבי השיט החשובים כוללים את לסבוס, כיוס וסאמוס, אמר המורה. ",Entailment,Entailment
666,"The aristocrat or court patron lent his prestige to a powerful provincial proprietor, who employed a competent estate-manager to oversee smallholders, who in turn worked their farms with dependent laborers.",The court patron never came into contact with a proprietor in all his life.,travel,contradiction,"האציל או פטרון החצר העניק את יוקרתו לבעל קרקעות פרובינציאלי רב עוצמה, שהעסיק מנהל אחוזה מוכשר כדי לפקח על בעלי האחוזות הקטנים, שבתורם השתמשו בפועלים שכירים עבור העבודות בחוותיהם.",פטרון החצר מעולם לא בא במגע עם בעל נכס כל חייו.,Contradiction,Neutral
